ARK | Intel® Product Specification Comparison
01/14/2024 01:06:53 PM
 ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Xeon® E-2488 Processor ,Intel® Xeon® E-2478 Processor ,Intel® Xeon® E-2468 Processor ,Intel® Xeon® E-2486 Processor ,Intel® Xeon® E-2456 Processor ,Intel® Xeon® E-2436 Processor ,Intel® Xeon® E-2434 Processor ,Intel® Xeon® E-2414 Processor ,Intel® Xeon® Gold 6433N Processor ,Intel® Xeon® Gold 6433NE Processor ,Intel® Xeon® Gold 6423N Processor ,Intel® Xeon® Silver 4509Y Processor ,Intel® Xeon® Silver 4510 Processor ,Intel® Xeon® Silver 4510T Processor ,Intel® Xeon® Bronze 3508U Processor ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Processor 300 ,Intel® Core™ Ultra 7 processor 155H ,Intel® Core™ Ultra 5 processor 125H ,Intel® Core™ Ultra 9 processor 185H ,Intel® Core™ Ultra 5 processor 135H ,Intel® Core™ Ultra 7 processor 165H ,Intel® Processor 300T ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Xeon® Platinum 8571N Processor ,Intel® Xeon® Platinum 8568Y+ Processor ,Intel® Xeon® Gold 6530 Processor ,Intel® Xeon® Platinum 8580 Processor ,Intel® Xeon® Platinum 8593Q Processor ,Intel® Xeon® Platinum 8558 Processor ,Intel® Xeon® Platinum 8558P Processor ,Intel® Xeon® Platinum 8592+ Processor ,Intel® Xeon® Gold 6554S Processor ,Intel® Xeon® Platinum 8570 Processor ,Intel® Xeon® Platinum 8558U Processor ,Intel® Xeon® Platinum 8581V Processor ,Intel® Core™ Ultra 7 processor 155U ,Intel® Core™ Ultra 5 processor 135U ,Intel® Core™ Ultra 7 processor 165U ,Intel® Core™ Ultra 5 processor 125U ,Intel® Core™ Ultra 5 processor 134U ,Intel® Core™ Ultra 7 processor 164U ,Intel® Xeon® Platinum 8592V Processor ,Intel® Xeon® Gold 6534 Processor ,Intel® Xeon® Silver 4516Y+ Processor ,Intel® Xeon® Silver 4514Y Processor ,Intel® Xeon® Platinum 8562Y+ Processor ,Intel® Xeon® Gold 6542Y Processor ,Intel® Xeon® Gold 6526Y Processor ,Intel® Xeon® Gold 5520+ Processor ,Intel® Xeon® Gold 5515+ Processor ,Intel® Xeon® Gold 6538Y+ Processor ,Intel® Xeon® Gold 6548Y+ Processor ,Intel® Xeon® Gold 5512U Processor ,Intel® Xeon® Gold 6558Q Processor ,Intel® Xeon® Gold 6548N Processor ,Intel® Xeon® Gold 6538N Processor ,Intel® Xeon® Gold 6544Y Processor ,Intel® Xeon® Gold 5403N Processor ,Intel® Core™ 3 processor 100U 
Single E-core Turbo Frequency,,,,,,,,,,,,,4.1 GHz,3.7 GHz,3.9 GHz,3.5 GHz,3.5 GHz,,,,,,,,,,,,,,,,4.4 GHz,,,3.3 GHz,3.5 GHz,4 GHz,3.4 GHz,4.2 GHz,3.6 GHz,4.3 GHz,3.7 GHz,,4.4 GHz,3.5 GHz,4.3 GHz,3.2 GHz,4 GHz,4.3 GHz,3.7 GHz,4 GHz,3.8 GHz,4 GHz,3.9 GHz,,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.8 GHz,,4.3 GHz,4.2 GHz,,,,,,,,,,,,,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.6 GHz,3.8 GHz,,,,,,,,,,,,,,,,,,3.3 GHz
P-core Base Frequency,,,,,,,,,,,,,2.2 GHz,2.2 GHz,2.1 GHz,2.4 GHz,2.6 GHz,,,,,,,,,,,,,,,,3.2 GHz,3.5 GHz,2.7 GHz,1.2 GHz,2.5 GHz,3.5 GHz,1.7 GHz,2.1 GHz,1.8 GHz,3.4 GHz,2.6 GHz,3.5 GHz,3.2 GHz,2.5 GHz,3.4 GHz,1.5 GHz,1.1 GHz,2 GHz,1.3 GHz,1.8 GHz,1.4 GHz,3.5 GHz,2.7 GHz,3.9 GHz,1.4 GHz,1.2 GHz,2.3 GHz,1.7 GHz,1.4 GHz,3.4 GHz,2 GHz,2.1 GHz,,,,,,,,,,,,,1.7 GHz,1.6 GHz,1.7 GHz,1.3 GHz,700 MHz,1.1 GHz,,,,,,,,,,,,,,,,,,1.2 GHz
E-core Base Frequency,,,,,,,,,,,,,1.6 GHz,1.6 GHz,1.5 GHz,1.8 GHz,1.9 GHz,,,,,,,,,,,,,,,,2.4 GHz,,,900 MHz,1.8 GHz,2.6 GHz,1.2 GHz,1.5 GHz,1.3 GHz,2.5 GHz,1.9 GHz,,2.4 GHz,1.8 GHz,2.5 GHz,1.1 GHz,800 MHz,1.5 GHz,900 MHz,1.2 GHz,900 MHz,2.6 GHz,2 GHz,,900 MHz,700 MHz,1.8 GHz,1.2 GHz,900 MHz,,1.5 GHz,1.5 GHz,,,,,,,,,,,,,1.2 GHz,1.1 GHz,1.2 GHz,800 MHz,500 MHz,700 MHz,,,,,,,,,,,,,,,,,,900 MHz
Processor Base Power,,,,,,,,,,,,,55 W,55 W,55 W,55 W,55 W,,,,,,,,,,,,,,,,125 W,60 W,35 W,15 W,65 W,125 W,35 W,65 W,35 W,125 W,65 W,58 W,125 W,65 W,125 W,35 W,35 W,65 W,35 W,15 W,15 W,125 W,65 W,46 W,28 W,28 W,45 W,28 W,28 W,35 W,65 W,65 W,,,,,,,,,,,,,15 W,15 W,15 W,15 W,9 W,9 W,,,,,,,,,,,,,,,,,,15 W
Maximum Turbo Power,,,,,,,,,,,,,157 W,157 W,157 W,157 W,157 W,,,,,,,,,,,,,,,,253 W,110 W,69 W,55 W,148 W,181 W,92 W,219 W,92 W,253 W,154 W,110 W,253 W,148 W,253 W,82 W,106 W,219 W,106 W,55 W,55 W,181 W,154 W,,115 W,115 W,115 W,115 W,115 W,,219 W,219 W,,,,,,,,,,,,,57 W,57 W,57 W,57 W,30 W,30 W,,,,,,,,,,,,,,,,,,55 W
Minimum Assured Power,,,,,,,,,,,,,45 W,45 W,45 W,45 W,45 W,,,,,,,,,,,,,,,,,,,12 W,,,,,,,,,,,,,,,,12 W,12 W,,,,20 W,20 W,35 W,20 W,20 W,,,,,,,,,,,,,,,,12 W,12 W,12 W,12 W,,,,,,,,,,,,,,,,,,,,12 W
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,5.60 GHz,5.20 GHz,5.2 GHz,5.6 GHz,5.10 GHz,5.00 GHz,5.00 GHz,4.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Speed,,,,,,,,,,,,,,,,,,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® UPI Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 GT/s,16 GT/s,16 GT/s,0 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,0 GT/s,0 GT/s,,,,,,,16 GT/s,20 GT/s,16 GT/s,16 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,0 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,0 GT/s,
Total L2 Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 MB,5 MB,5 MB,,9.5 MB,20 MB,11.5 MB,28 MB,20 MB,28 MB,11.5 MB,5 MB,32 MB,9.5 MB,28 MB,9.5 MB,32 MB,32 MB,28 MB,,,20 MB,20 MB,2.5 MB,,,,,,2.5 MB,32 MB,28 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Low Power Efficient-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
Low Power Efficient-core Max Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,,,,,,,,,,,,,,,,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,,,,,,,,,,,,,,,,,,
Low Power Efficient-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 MHz,700 MHz,1 GHz,700 MHz,700 MHz,,,,,,,,,,,,,,,,700 MHz,700 MHz,700 MHz,700 MHz,400 MHz,400 MHz,,,,,,,,,,,,,,,,,,
Maximum Assured Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 W,65 W,65 W,65 W,65 W,,,,,,,,,,,,,,,,28 W,28 W,28 W,28 W,15 W,15 W,,,,,,,,,,,,,,,,,,
AI Datatype Support on CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,,,,,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,,,,,,,,,,,,,,,,,,
AI Software Frameworks Supported by CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,,,,,,,,,,,,,,,,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q3'23,Q3'23,Q3'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q4'23,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q1'24,Q1'24,Q1'24,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q1'24
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes,No
Servicing Status,,,,,,,,,,,,,,,,,,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,,,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,
Extended Temperature Options,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,192 GB,192 GB,192 GB,192 GB,192 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,192 GB,192 GB,192 GB,96 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,96 GB,96 GB,192 GB,192 GB,192 GB,96 GB,96 GB,96 GB,96 GB,96 GB,192 GB,192 GB,192 GB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,96 GB,96 GB,96 GB,96 GB,64 GB,64 GB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,96 GB
Memory Types,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4400,DDR5-4400,DDR5-4400,DDR5 @ 4400 MT/s (1 DPC  &2DPC),DDR5 @ 4400 MT/s (1 DPC  &2DPC),DDR5 @ 4400 MT/s (1 DPC  &2DPC),DDR5 @ 4400 MT/s (1 DPC  &2DPC),Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,DDR5 @ 4800 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 4800 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5200 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5200 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5200 MT/s (1 DPC),DDR5 @ 4800 MT/s (1 DPC),Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 7467 MT/s  Up to DDR5 5600 MT/s,Up to LPDDR5/x 6400 MT/s,Up to LPDDR5/x 6400 MT/s,DDR5 @ 4800 MT/s (1 DPC),Up to DDR5 4800 MT/s 1DPC,Up to DDR5 4400 MT/s (1DPC & 2DPC),Up to DDR5 4400 MT/s (1DPC & 2DPC),Up to DDR5 5600 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,DDR5-4000,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT/s Up to LPDDR4x 4267 MT/s
Maximum Memory Speed,2400 MHz,2667 MHz,2933 MHz,2400 MHz,2667 MHz,2667 MHz,2667 MHz,2933 MHz,3200 MHz,2667 MHz,2933 MHz,2933 MHz,,,,,,,,,,,,,,4400 MHz,4400 MHz,4400 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000 MHz,
Max # of Memory Channels,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2
Intel® Optane™ Persistent Memory Supported,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,No,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,Yes,Yes,,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Max Memory Bandwidth,,,,,,,,,,,,,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,,,,,,,,,,,,,,,,89.6 GB/s,76.8 GB/s,76.8 GB/s,,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,76.8 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,,,89.6 GB/s,89.6 GB/s,76.8 GB/s,,,,,,76.8 GB/s,89.6 GB/s,89.6 GB/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Expansion Options
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,2S,2S,2S,1S Only,1S Only,1S Only,1S Only,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,1S Only,1S Only,1S Only,,,,,,1S Only,1S Only,1S Only,1S Only,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,1S Only,,,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,2S,2S,2S,2S,1S Only,
PCI Express Revision,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,,,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,
Microprocessor PCIe Revision,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,,,,,,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,,,,,,,,,,,Gen 4,,,,,,,,,,,,,,,,Gen 4,Gen 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 4
Chipset / PCH PCIe Revision,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,,,,,,,,,,,,,,,,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3
Max # of PCI Express Lanes,16,16,16,16,16,16,32,32,32,32,32,32,20,20,20,20,20,20,20,20,20,20,20,20,20,64,64,64,80,80,80,80,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,20,20,20,80,80,80,80,80,80,80,80,80,80,80,80,20,20,20,20,12,12,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,48,20
Direct Media Interface (DMI) Revision,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
