ARK | Intel® Product Specification Comparison
01/10/2026 12:05:48 AM
 ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Xeon® 6768P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Xeon® 6768P-B Processor 
Graphics Output,,,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,,,,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,
Xe-cores,,,4,2,2,4,4,4,,,,4,2,2,4,4,4,
Ray Tracing,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Max Resolution (DP)‡,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,
Max Resolution (eDP - Integrated Flat Panel)‡,,,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,,,,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,
DirectX* Support,,,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,,,,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,
OpenGL* Support,,,4.6,4.6,4.6,4.6,4.6,4.6,,,,4.6,4.6,4.6,4.6,4.6,4.6,
OpenCL* Support,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,
H.264 Hardware Encode/Decode,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
H.265 (HEVC) Hardware Encode/Decode,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
H.266 (VVC) Hardware Encode/Decode,,,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,,,,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,
AV1 Hardware Encode/Decode,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Quick Sync Video,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
# of Displays Supported ‡,,,4,4,4,4,4,4,,,,4,4,4,4,4,4,
Device ID,,,0xB090,0xB090,0xB090,0xB090,0xB090,0xB090,,,,0xB090,0xB090,0xB090,0xB090,0xB090,0xB090,
Intel® Deep Learning Boost (Intel® DL Boost) on GPU,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
AI Software Frameworks Supported by GPU,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,
GPU Lithography,,,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,,,,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,

NPU Specifications
NPU Peak TOPS (Int8),,,49,46,46,47,49,47,,,,49,46,46,47,49,47,
Sparsity Support,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Windows Studio Effects Support,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
AI Software Frameworks Supported by NPU,,,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,,,,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,
